llm,metric,category,prompt,average,count,min_score,max_score
ALL,avg_prompt1_CS,CS,prompt1,4.64,50,3.65,5.0
ALL,avg_prompt2_CS,CS,prompt2,4.44,50,1.1,5.0
ALL,avg_prompt3_CS,CS,prompt3,4.592,50,1.0,5.0
ALL,avg_prompt4_CS,CS,prompt4,4.394,50,1.0,5.0
ALL,avg_prompt5_CS,CS,prompt5,4.323,50,1.7,5.0
ALL,avg_prompt1_CL,CL,prompt1,4.537,50,1.5,5.0
ALL,avg_prompt2_CL,CL,prompt2,4.419,50,2.85,5.0
ALL,avg_prompt3_CL,CL,prompt3,4.533,50,3.5,5.0
ALL,avg_prompt4_CL,CL,prompt4,4.504,50,3.7,5.0
ALL,avg_prompt5_CL,CL,prompt5,4.391,50,1.4,5.0
ALL,avg_prompt1_L,L,prompt1,4.409,50,3.1,5.0
ALL,avg_prompt2_L,L,prompt2,4.267,50,2.2,5.0
ALL,avg_prompt3_L,L,prompt3,4.4,50,2.3,5.0
ALL,avg_prompt4_L,L,prompt4,4.299,50,0.9,5.0
ALL,avg_prompt5_L,L,prompt5,4.036,50,0.9,5.0
mistral,avg_prompt1_CS,CS,prompt1,4.735,N/A,N/A,N/A
mistral,avg_prompt2_CS,CS,prompt2,4.76,N/A,N/A,N/A
mistral,avg_prompt3_CS,CS,prompt3,4.725,N/A,N/A,N/A
mistral,avg_prompt4_CS,CS,prompt4,4.795,N/A,N/A,N/A
mistral,avg_prompt5_CS,CS,prompt5,4.88,N/A,N/A,N/A
mistral,avg_prompt1_CL,CL,prompt1,4.855,N/A,N/A,N/A
mistral,avg_prompt2_CL,CL,prompt2,4.74,N/A,N/A,N/A
mistral,avg_prompt3_CL,CL,prompt3,4.645,N/A,N/A,N/A
mistral,avg_prompt4_CL,CL,prompt4,4.835,N/A,N/A,N/A
mistral,avg_prompt5_CL,CL,prompt5,4.715,N/A,N/A,N/A
mistral,avg_prompt1_L,L,prompt1,4.685,N/A,N/A,N/A
mistral,avg_prompt2_L,L,prompt2,4.8,N/A,N/A,N/A
mistral,avg_prompt3_L,L,prompt3,4.97,N/A,N/A,N/A
mistral,avg_prompt4_L,L,prompt4,4.95,N/A,N/A,N/A
mistral,avg_prompt5_L,L,prompt5,4.765,N/A,N/A,N/A
llama,avg_prompt1_CS,CS,prompt1,4.36,N/A,N/A,N/A
llama,avg_prompt2_CS,CS,prompt2,3.68,N/A,N/A,N/A
llama,avg_prompt3_CS,CS,prompt3,4.275,N/A,N/A,N/A
llama,avg_prompt4_CS,CS,prompt4,3.82,N/A,N/A,N/A
llama,avg_prompt5_CS,CS,prompt5,3.33,N/A,N/A,N/A
llama,avg_prompt1_CL,CL,prompt1,3.89,N/A,N/A,N/A
